Chr,gene_symbol,tissue,fold_change,p_value,regulation,detecting_method,pubMed_ID
2,IL18R1, peripheral blood,1.66,0.00203,UP,qRT-PCR,21943286
2,IL1R2, peripheral blood,1.51,0.00563,UP,qRT-PCR,21943286
13,IRS2, peripheral blood,1.62,0.00704,UP,qRT-PCR,21943286
4,JAKMIP1, peripheral blood,-1.68,0.000102,DOWN,qRT-PCR,21943286
3,KCNH8, peripheral blood,-1.59,0.0000554,DOWN,qRT-PCR,21943286
14,KIAA0423, peripheral blood,-1.54,0.00219,DOWN,qRT-PCR,21943286
1,KIF1B, peripheral blood,1.57,0.00886,UP,qRT-PCR,21943286
12,KLRG1, peripheral blood,-1.56,0.00798,DOWN,qRT-PCR,21943286
8,LRRC6, peripheral blood,1.77,0.000431,UP,qRT-PCR,21943286
1,MCOLN2, peripheral blood,-1.58,0.00281,DOWN,qRT-PCR,21943286
6,MDGA1, peripheral blood,-1.64,0.00427,DOWN,qRT-PCR,21943286
4,MMAA, peripheral blood,-1.52,0.000777,DOWN,qRT-PCR,21943286
11,MRVI1, peripheral blood,1.6,0.00935,UP,qRT-PCR,21943286
8,MSC, peripheral blood,-1.82,0.00109,DOWN,qRT-PCR,21943286
2,MYO3B, peripheral blood,-1.72,0.000467,DOWN,qRT-PCR,21943286
6,MYO6, peripheral blood,-1.6,0.0094,DOWN,qRT-PCR,21943286
2,NEB, peripheral blood,1.58,0.00281,UP,qRT-PCR,21943286
7,NFE2L3, peripheral blood,-1.53,0.00803,DOWN,qRT-PCR,21943286
6,NT5E, peripheral blood,-1.53,0.00152,DOWN,qRT-PCR,21943286
-,OCC-1, peripheral blood,-1.54,0.000429,DOWN,qRT-PCR,21943286
10,OLAH, peripheral blood,1.69,0.0015,UP,qRT-PCR,21943286
3,OSBPL10, peripheral blood,-1.56,0.000854,DOWN,qRT-PCR,21943286
17,P2RX5, peripheral blood,-1.51,0.00047,DOWN,qRT-PCR,21943286
3,P2RY14, peripheral blood,-1.51,0.00594,DOWN,qRT-PCR,21943286
9,PAX5, peripheral blood,-1.65,0.00153,DOWN,qRT-PCR,21943286
13,PCDH9, peripheral blood,-1.58,0.000077,DOWN,qRT-PCR,21943286
17,PER1, peripheral blood,1.61,0.000614,UP,qRT-PCR,21943286
8,PKHD1L1, peripheral blood,-1.93,0.0063,DOWN,qRT-PCR,21943286
2,PROC, peripheral blood,1.55,0.000783,UP,qRT-PCR,21943286
17,PSMC5, peripheral blood,-1.53,0.00568,DOWN,qRT-PCR,21943286
6,PTPRK, peripheral blood,-1.68,0.000058,DOWN,qRT-PCR,21943286
12,PTPRO, peripheral blood,-1.64,0.00292,DOWN,qRT-PCR,21943286
15,RASGRF1, peripheral blood,1.56,0.00815,UP,qRT-PCR,21943286
2,RASGRP3, peripheral blood,-1.6,0.000205,DOWN,qRT-PCR,21943286
2,SCN3A, peripheral blood,-2.05,0.0000143,DOWN,qRT-PCR,21943286
19,SPIB, peripheral blood,-1.58,0.0000184,DOWN,qRT-PCR,21943286
8,SQLE, peripheral blood,-1.63,0.00028,DOWN,qRT-PCR,21943286
9,STRBP, peripheral blood,-1.58,0.00161,DOWN,qRT-PCR,21943286
12,TBK1, peripheral blood,1.55,0.00388,UP,qRT-PCR,21943286
14,TCL1A, peripheral blood,-1.78,0.000117,DOWN,qRT-PCR,21943286
14,TCL6, peripheral blood,-1.79,0.000399,DOWN,qRT-PCR,21943286
11,TCN1, peripheral blood,1.57,0.00115,UP,qRT-PCR,21943286
14,TRAJ17, peripheral blood,-1.56,0.00501,DOWN,qRT-PCR,21943286
-,UNQ9368, peripheral blood,1.61,0.00664,UP,qRT-PCR,21943286
X,UTP14A, peripheral blood,-2.02,0.00481,DOWN,qRT-PCR,21943286
6,VNN1, peripheral blood,1.64,0.00499,UP,qRT-PCR,21943286
11,WEE1, peripheral blood,-1.61,0.00272,DOWN,qRT-PCR,21943286
13,ZDHHC20, peripheral blood,2.09,0.000363,UP,qRT-PCR,21943286
19,ZNF154, peripheral blood,-1.52,0.0047,DOWN,qRT-PCR,21943286
19,ZNF320, peripheral blood,-1.57,0.00327,DOWN,qRT-PCR,21943286
19,ZNF382, peripheral blood,-1.53,0.00843,DOWN,qRT-PCR,21943286
18,ZNF396, peripheral blood,1.53,0.00766,UP,qRT-PCR,21943286
19,ZNF420, peripheral blood,-1.55,0.00579,DOWN,qRT-PCR,21943286
19,ZNF545, peripheral blood,-1.51,0.0024,DOWN,qRT-PCR,21943286
19,PVRL2, peripheral blood,1.72,2.66E-36,UP,RNA-seq,25475535
7,NCAPG2, peripheral blood,0.97,3.64E-13,UP,RNA-seq,25475535
19,FCER2, peripheral blood,-0.67,0.0000587,DOWN,RNA-seq,25475535
1,DRAXIN, peripheral blood,0.89,0.0002,UP,RNA-seq,25475535
19,CEACAM6, peripheral blood,0.48,0.0004,UP,RNA-seq,25475535
11,HBG1, peripheral blood,-0.79,0.0008,DOWN,RNA-seq,25475535
10,ADARB2, peripheral blood,0.32,0.002,UP,RNA-seq,25475535
6,COL19A1, peripheral blood,-0.62,0.003,DOWN,RNA-seq,25475535
7,CNTNAP2, peripheral blood,-0.62,0.004,DOWN,RNA-seq,25475535
8,DEFA4, peripheral blood,0.3,0.01,UP,RNA-seq,25475535
14,TCL1B, peripheral blood,-0.86,0.03,DOWN,RNA-seq,25475535
4,SNCA, peripheral blood,-0.43,0.03,DOWN,RNA-seq,25475535
12,SLC2A14, peripheral blood,0.61,0.04,UP,RNA-seq,25475535
9,BRD3,blood,-0.3,0.00258,DOWN,Microarray,26510930
9,c9orf5,blood,-0.71,0.00479,DOWN,Microarray,26510930
12,CBX5,blood,-0.43,5.67E-08,DOWN,Microarray,26510930
11,CD248,blood,-0.38,0.000284,DOWN,Microarray,26510930
8,cebpd,blood,0.43,0.000128,UP,Microarray,26510930
7,COG5,blood,-0.36,0.00129,DOWN,Microarray,26510930
14,COX16,blood,#VALUE!,0.00205,DOWN,Microarray,26510930
2,CYP1B1,blood,0.57,0.000197,UP,Microarray,26510930
16,dhodh,blood,-0.51,0.000945,DOWN,Microarray,26510930
2,dock10,blood,-0.340075442,0.000247,DOWN,Microarray,26510930
12,dusp6,blood,0.45,0.0000748,UP,Microarray,26510930
4,Etfdh,blood,0.29,0.000493,UP,Microarray,26510930
17,EZH1,blood,-0.36,0.00173,DOWN,Microarray,26510930
19,FLT3LG,blood,-0.42,0.000397,DOWN,Microarray,26510930
1,HPCAL4,blood,-0.6,0.00122,DOWN,Microarray,26510930
1,INPP5B,blood,-0.42,0.0035,DOWN,Microarray,26510930
-,KIAA1659,blood,-0.6,0.000986,DOWN,Microarray,26510930
5,LOC202181,blood,-0.3,0.00111,DOWN,Microarray,26510930
3,LRCH3,blood,-0.32,0.000626,DOWN,Microarray,26510930
6,LTB,blood,-0.34,0.00115,DOWN,Microarray,26510930
1,MAN1C1,blood,-0.47,0.000295,DOWN,Microarray,26510930
5,MAST4,blood,-0.4,0.003,DOWN,Microarray,26510930
14,MED6,blood,-0.34,0.0044,DOWN,Microarray,26510930
9,MEGF9,blood,0.37,0.00203,UP,Microarray,26510930
4,NOP14,blood,-0.36,0.00157,DOWN,Microarray,26510930
1,Nucks1,blood,-0.34,0.00494,DOWN,Microarray,26510930
4,paics,blood,-0.27,0.000498,DOWN,Microarray,26510930
1,PEX11B,blood,-0.18,0.00143,DOWN,Microarray,26510930
4,SAP30,blood,0.43,0.00276,UP,Microarray,26510930
2,SATB2,blood,0.74,0.000365,UP,Microarray,26510930
X,6-Sep,blood,-0.3,0.000853,DOWN,Microarray,26510930
3,SLC25A20,blood,0.37,0.000132,UP,Microarray,26510930
2,TBC1D8,blood,0.41,0.000248,UP,Microarray,26510930
19,tcf3,blood,-0.42,0.0000862,DOWN,Microarray,26510930
17,thrA,blood,-0.47,0.00197,DOWN,Microarray,26510930
16,TMEM204,blood,0.41,0.0033,UP,Microarray,26510930
1,TNFRSF25,blood,-0.36,0.000503,DOWN,Microarray,26510930
8,Tox,blood,0.37,0.000242,UP,Microarray,26510930
10,tspan15,blood,-0.45,0.00111,DOWN,Microarray,26510930
21,URB1,blood,-0.36,0.000626,DOWN,Microarray,26510930
17,ZNF652,blood,-0.64,0.00042,DOWN,Microarray,26510930
1,ZNF669,blood,-0.27,0.00416,DOWN,Microarray,26510930
10,5-Mar,prefrontal cortex,0.3,0.000322,UP,Microarray,26793951
-,A_23_P129258,prefrontal cortex,-0.42,0.0000144,DOWN,Microarray,26793951
-,A_23_P142197,prefrontal cortex,-0.22,0.0000204,DOWN,Microarray,26793951
-,A_23_P331087,prefrontal cortex,0.32,0.000882,UP,Microarray,26793951
-,A_24_P315885,prefrontal cortex,-0.69,0.000628,DOWN,Microarray,26793951
-,A_24_P534290,prefrontal cortex,-0.33,0.000287,DOWN,Microarray,26793951
-,A_24_P831005,prefrontal cortex,-0.41,0.000216,DOWN,Microarray,26793951
-,A_24_P902195,prefrontal cortex,0.54,0.000794,UP,Microarray,26793951
-,A_32_P10643,prefrontal cortex,-0.35,0.000503,DOWN,Microarray,26793951
-,A_32_P51714,prefrontal cortex,-0.38,0.000557,DOWN,Microarray,26793951
-,A_32_P73717,prefrontal cortex,-0.4,0.000809,DOWN,Microarray,26793951
-,A_32_P75141,prefrontal cortex,0.58,0.000113,UP,Microarray,26793951
-,A_32_P80198,prefrontal cortex,-0.5,0.0000278,DOWN,Microarray,26793951
-,A_32_P83795,prefrontal cortex,-0.54,0.000191,DOWN,Microarray,26793951
-,A_32_P8857,prefrontal cortex,-0.5,0.000966,DOWN,Microarray,26793951
-,A_32_P95502,prefrontal cortex,-0.23,0.000312,DOWN,Microarray,26793951
-,A2ML1,prefrontal cortex,0.48,0.0024,UP,RNA-Seq,26793951
-,AA069768,prefrontal cortex,-0.4,0.000347,DOWN,Microarray,26793951
-,AA301508,prefrontal cortex,-0.39,0.000563,DOWN,Microarray,26793951
-,AA372247,prefrontal cortex,-0.44,0.000727,DOWN,Microarray,26793951
-,AA431401,prefrontal cortex,-0.4,0.0000683,DOWN,Microarray,26793951
-,AA573471,prefrontal cortex,-0.16,0.000374,DOWN,Microarray,26793951
-,AA627222,prefrontal cortex,-0.54,0.0000504,DOWN,Microarray,26793951
-,AA725389,prefrontal cortex,-0.37,0.00000639,DOWN,Microarray,26793951
-,AA887462,prefrontal cortex,-0.5,0.00000523,DOWN,Microarray,26793951
-,AA911065,prefrontal cortex,-0.65,0.000468,DOWN,Microarray,26793951
-,AB019568,prefrontal cortex,-0.37,0.000777,DOWN,Microarray,26793951
2,ABCB6,prefrontal cortex,0.43,0.0000197,UP,RNA-Seq,26793951
4,ABCE1,prefrontal cortex,-0.28,0.000401,DOWN,RNA-Seq,26793951
1,ABL2,prefrontal cortex,0.39,0.000215,UP,Microarray,26793951
-,AC002472.13,prefrontal cortex,-0.81,0.000734,DOWN,RNA-Seq,26793951
-,AC026310.1,prefrontal cortex,-0.65,0.00281,DOWN,RNA-Seq,26793951
-,AC073343.1,prefrontal cortex,-0.69,0.0000108,DOWN,RNA-Seq,26793951
-,AC135048.1,prefrontal cortex,0.73,0.000259,UP,RNA-Seq,26793951
-,AC139100.2,prefrontal cortex,0.57,0.000979,UP,RNA-Seq,26793951
-,AC145676.2,prefrontal cortex,0.7,0.00302,UP,RNA-Seq,26793951
10,ACADSB,prefrontal cortex,-0.39,0.0000781,DOWN,RNA-Seq,26793951
17,ACADVL,prefrontal cortex,0.3,0.00145,UP,RNA-Seq,26793951
10,ACBD7,prefrontal cortex,-0.48,0.000602,DOWN,Microarray,26793951
6,ACOT13,prefrontal cortex,-0.11,0.0000846,DOWN,microarray transcriptomics,26793951
X,ACRC,prefrontal cortex,0.65,0.0000126,UP,RNA-Seq,26793951
5,ACSL6,prefrontal cortex,-0.12,0.000616,DOWN,microarray transcriptomics,26793951
10,ACTA2,prefrontal cortex,0.11,0.00000321,UP,microarray transcriptomics,26793951
10,ACTA2,prefrontal cortex,-0.71,0.00246,DOWN,RNA-Seq,26793951
7,ACTB,prefrontal cortex,0.08,0.000463,UP,microarray transcriptomics,26793951
1,ACTN2,prefrontal cortex,-0.33,0.00292,DOWN,RNA-Seq,26793951
19,ACTN4,prefrontal cortex,-0.08,0.0019,DOWN,microarray transcriptomics,26793951
2,ACTR3,prefrontal cortex,0.1,0.000824,UP,microarray transcriptomics,26793951
2,ADAM23,prefrontal cortex,-0.1,0.00376,DOWN,microarray transcriptomics,26793951
20,ADAM33,prefrontal cortex,0.84,0.000000439,UP,RNA-Seq,26793951
5,ADAMTS2,prefrontal cortex,0.57,0.000467,UP,RNA-Seq,26793951
21,ADAMTS5,prefrontal cortex,-0.76,0.000533,DOWN,RNA-Seq,26793951
16,ADAT1,prefrontal cortex,-0.26,0.00307,DOWN,RNA-Seq,26793951
6,ADAT2,prefrontal cortex,-0.28,0.00239,DOWN,RNA-Seq,26793951
1,ADCY10,prefrontal cortex,0.55,0.00114,UP,RNA-Seq,26793951
18,ADCYAP1,prefrontal cortex,-0.68,0.000455,DOWN,RNA-Seq,26793951
6,ADGB,prefrontal cortex,-0.77,0.00122,DOWN,RNA-Seq,26793951
4,ADH5,prefrontal cortex,0.41,0.0000942,UP,Microarray,26793951
11,ADM,prefrontal cortex,0.68,0.00207,UP,RNA-Seq,26793951
-,AF086156,prefrontal cortex,-0.49,0.000174,DOWN,Microarray,26793951
-,AF088007,prefrontal cortex,-0.41,0.000804,DOWN,Microarray,26793951
-,AF088026,prefrontal cortex,0.22,0.000241,UP,Microarray,26793951
-,AF113011,prefrontal cortex,-0.41,0.000855,DOWN,Microarray,26793951
-,AF116719,prefrontal cortex,-0.25,0.000159,DOWN,Microarray,26793951
-,AF130109,prefrontal cortex,-0.49,0.0000199,DOWN,Microarray,26793951
-,AF131762,prefrontal cortex,0.5,0.00086,UP,Microarray,26793951
-,AF132973,prefrontal cortex,-0.47,0.000364,DOWN,Microarray,26793951
7,AGFG2,prefrontal cortex,0.34,0.000404,UP,RNA-Seq,26793951
9,AGTPBP1,prefrontal cortex,-0.42,0.00165,DOWN,RNA-Seq,26793951
14,AHSA1,prefrontal cortex,0.42,0.000225,UP,RNA-Seq,26793951
-,AI267511,prefrontal cortex,-0.29,0.000687,DOWN,Microarray,26793951
-,AI348443,prefrontal cortex,-0.42,0.000556,DOWN,Microarray,26793951
-,AI359141,prefrontal cortex,-0.6,0.000727,DOWN,Microarray,26793951
-,AI537201,prefrontal cortex,0.25,0.00000677,UP,Microarray,26793951
-,AI925475,prefrontal cortex,-0.37,0.000565,DOWN,Microarray,26793951
-,AI937689,prefrontal cortex,-0.29,0.000418,DOWN,Microarray,26793951
7,AIMP2,prefrontal cortex,-0.21,0.00276,DOWN,RNA-Seq,26793951
-,AK000809,prefrontal cortex,-0.45,0.000149,DOWN,Microarray,26793951
-,AK002036,prefrontal cortex,0.24,0.000503,UP,Microarray,26793951
-,AK023660,prefrontal cortex,0.31,0.00094,UP,Microarray,26793951
-,AK054572,prefrontal cortex,0.32,0.000113,UP,Microarray,26793951
-,AK092875,prefrontal cortex,0.48,0.000441,UP,Microarray,26793951
-,AK093987,prefrontal cortex,0.26,0.000451,UP,Microarray,26793951
-,AK095453,prefrontal cortex,0.42,0.000817,UP,Microarray,26793951
-,AK098081,prefrontal cortex,0.26,0.000121,UP,Microarray,26793951
9,AK1,prefrontal cortex,0.29,0.000674,UP,RNA-Seq,26793951
-,AK123649,prefrontal cortex,0.4,0.0000646,UP,Microarray,26793951
-,AK125077,prefrontal cortex,0.36,0.000441,UP,Microarray,26793951
-,AK127378,prefrontal cortex,-0.37,0.0000877,DOWN,Microarray,26793951
14,AK7,prefrontal cortex,-0.69,0.00042,DOWN,RNA-Seq,26793951
14,AKAP5,prefrontal cortex,-0.67,0.000886,DOWN,RNA-Seq,26793951
14,AKAP6,prefrontal cortex,-0.37,0.0000266,DOWN,RNA-Seq,26793951
7,AKR1B1,prefrontal cortex,0.06,0.000885,UP,microarray transcriptomics,26793951
7,AKR1B10,prefrontal cortex,0.64,0.000779,UP,Microarray,26793951
10,AKR1C2,prefrontal cortex,0.72,0.0000588,UP,RNA-Seq,26793951
-,AL031663.2,prefrontal cortex,0.63,0.00195,UP,RNA-Seq,26793951
-,AL035588.1,prefrontal cortex,0.69,0.0027,UP,RNA-Seq,26793951
-,AL138781.1,prefrontal cortex,0.84,0.00000494,UP,RNA-Seq,26793951
-,AL533190,prefrontal cortex,-0.56,0.000511,DOWN,Microarray,26793951
-,AL562818,prefrontal cortex,-0.48,0.000119,DOWN,Microarray,26793951
-,AL582976,prefrontal cortex,-0.48,0.0000186,DOWN,Microarray,26793951
-,AL807752.1,prefrontal cortex,-0.67,0.000442,DOWN,RNA-Seq,26793951
4,ALB,prefrontal cortex,-0.6,0.00187,DOWN,RNA-Seq,26793951
9,ALDH1A1,prefrontal cortex,-0.54,0.0000982,DOWN,RNA-Seq,26793951
9,ALDH1A1,prefrontal cortex,-0.24,0.000548,DOWN,microarray transcriptomics,26793951
11,ALKBH8,prefrontal cortex,-0.32,0.000363,DOWN,RNA-Seq,26793951
2,ALMS1,prefrontal cortex,-0.47,0.000305,DOWN,RNA-Seq,26793951
2,ALMS1,prefrontal cortex,-0.33,0.000763,DOWN,Microarray,26793951
17,ALOX15B,prefrontal cortex,0.61,0.00198,UP,RNA-Seq,26793951
2,ALS2CR13,prefrontal cortex,0.27,0.000515,UP,Microarray,26793951
12,AMDHD1,prefrontal cortex,-0.57,0.00127,DOWN,RNA-Seq,26793951
1,AMIGO1,prefrontal cortex,-0.16,0.0000501,DOWN,microarray transcriptomics,26793951
1,AMY2A,prefrontal cortex,-0.68,0.00106,DOWN,RNA-Seq,26793951
2,ANAPC1,prefrontal cortex,-0.2,0.00264,DOWN,RNA-Seq,26793951
10,ANAPC16,prefrontal cortex,0.36,0.00049,UP,RNA-Seq,26793951
8,ANGPT2,prefrontal cortex,0.73,0.000253,UP,RNA-Seq,26793951
9,ANGPTL2,prefrontal cortex,-0.71,0.000197,DOWN,RNA-Seq,26793951
10,ANK3,prefrontal cortex,-0.47,0.000155,DOWN,RNA-Seq,26793951
19,ANKLE1,prefrontal cortex,0.51,0.000283,UP,RNA-Seq,26793951
1,ANKRD13C,prefrontal cortex,-0.27,0.00307,DOWN,RNA-Seq,26793951
5,ANKRD34B,prefrontal cortex,-0.83,0.000252,DOWN,RNA-Seq,26793951
2,ANKRD36,prefrontal cortex,-0.55,0.0000302,DOWN,RNA-Seq,26793951
2,ANKRD36C,prefrontal cortex,-0.51,0.000238,DOWN,RNA-Seq,26793951
4,ANKRD37,prefrontal cortex,0.6,0.000094,UP,RNA-Seq,26793951
2,ANKRD57,prefrontal cortex,0.45,0.000263,UP,Microarray,26793951
6,ANKRD66,prefrontal cortex,-0.74,0.00177,DOWN,RNA-Seq,26793951
12,ANO2,prefrontal cortex,0.52,0.00174,UP,RNA-Seq,26793951
15,ANPEP,prefrontal cortex,0.72,0.0000997,UP,RNA-Seq,26793951
17,AOC2,prefrontal cortex,0.44,0.00103,UP,RNA-Seq,26793951
1,APOA1BP,prefrontal cortex,0.11,0.00372,UP,microarray transcriptomics,26793951
X,APOOL,prefrontal cortex,-0.56,0.0031,DOWN,RNA-Seq,26793951
7,AQP1,prefrontal cortex,0.38,0.00142,UP,microarray transcriptomics,26793951
11,ARAP1,prefrontal cortex,0.39,0.00199,UP,RNA-Seq,26793951
14,AREL1,prefrontal cortex,-0.2,0.000811,DOWN,RNA-Seq,26793951
11,ARHGAP1,prefrontal cortex,0.12,0.000213,UP,microarray transcriptomics,26793951
17,ARHGDIA,prefrontal cortex,0.08,0.000322,UP,microarray transcriptomics,26793951
11,ARHGEF12,prefrontal cortex,0.06,0.0042,UP,microarray transcriptomics,26793951
1,ARHGEF19,prefrontal cortex,0.64,0.000037,UP,RNA-Seq,26793951
12,ARID2,prefrontal cortex,0.26,0.000335,UP,Microarray,26793951
2,ARID5A,prefrontal cortex,0.52,0.00024,UP,RNA-Seq,26793951
3,ARIH2OS,prefrontal cortex,-0.4,0.00223,DOWN,RNA-Seq,26793951
12,ARL6IP4,prefrontal cortex,0.5,0.000286,UP,RNA-Seq,26793951
X,ARMCX4,prefrontal cortex,-0.35,0.0000164,DOWN,RNA-Seq,26793951
X,ARMCX5,prefrontal cortex,-0.28,0.000542,DOWN,RNA-Seq,26793951
X,ARR3,prefrontal cortex,-0.55,0.0031,DOWN,RNA-Seq,26793951
5,ARSB,prefrontal cortex,-0.22,0.00302,DOWN,RNA-Seq,26793951
4,ART3,prefrontal cortex,0.48,0.0026,UP,RNA-Seq,26793951
2,ASAP2,prefrontal cortex,-0.13,0.000111,DOWN,microarray transcriptomics,26793951
9,ASS1,prefrontal cortex,0.12,0.003,UP,microarray transcriptomics,26793951
3,ASTE1,prefrontal cortex,-0.34,0.0000128,DOWN,RNA-Seq,26793951
10,ATAD1,prefrontal cortex,-0.13,0.00178,DOWN,microarray transcriptomics,26793951
1,ATAD3A,prefrontal cortex,-0.08,0.00502,DOWN,microarray transcriptomics,26793951
22,ATF4,prefrontal cortex,0.33,0.00118,UP,RNA-Seq,26793951
1,ATF6,prefrontal cortex,-0.21,0.0016,DOWN,RNA-Seq,26793951
14,ATG14,prefrontal cortex,-0.33,0.0000229,DOWN,RNA-Seq,26793951
2,ATG4B,prefrontal cortex,0.35,0.000102,UP,RNA-Seq,26793951
2,ATOH8,prefrontal cortex,0.62,0.000372,UP,RNA-Seq,26793951
5,ATP10B,prefrontal cortex,-0.59,0.0019,DOWN,RNA-Seq,26793951
1,ATP1A2,prefrontal cortex,-0.12,0.00547,DOWN,microarray transcriptomics,26793951
3,ATP2B2,prefrontal cortex,-0.14,0.0000379,DOWN,microarray transcriptomics,26793951
X,ATP2B3,prefrontal cortex,-0.08,0.00107,DOWN,microarray transcriptomics,26793951
1,ATP2B4,prefrontal cortex,0.11,0.0002,UP,microarray transcriptomics,26793951
17,ATP5H,prefrontal cortex,-0.11,0.00395,DOWN,microarray transcriptomics,26793951
5,ATP6V0E1,prefrontal cortex,0.46,0.00012,UP,Microarray,26793951
4,ATP8A1,prefrontal cortex,0.18,0.00006,UP,microarray transcriptomics,26793951
1,ATPAF1,prefrontal cortex,-0.08,0.00534,DOWN,microarray transcriptomics,26793951
1,ATPIF1,prefrontal cortex,-0.39,0.00119,DOWN,microarray transcriptomics,26793951
3,ATR,prefrontal cortex,-0.36,0.00000747,DOWN,RNA-Seq,26793951
14,ATXN3,prefrontal cortex,-0.2,0.00177,DOWN,RNA-Seq,26793951
9,AUH,prefrontal cortex,-0.1,0.00134,DOWN,microarray transcriptomics,26793951
2,AUP1,prefrontal cortex,0.33,0.00206,UP,RNA-Seq,26793951
19,AURKC,prefrontal cortex,0.42,0.00212,UP,RNA-Seq,26793951
